season_period,pattern_mean,pattern_std,pop_mean,pop_std,gen_mean,n_seeds
200,0.5450223752465667,0.0902456895198455,108.85,10.698130677833394,12.8,20
600,0.5161701155664336,0.07915362356291085,94.0,14.85367223777906,12.5,20
1200,0.5276117083837769,0.09417845979655202,138.9,18.35297193773718,13.5,20
2400,0.5364035527796334,0.08811876803906273,152.15,14.423208636375646,14.5,20
4800,0.5557681709547265,0.08615337669031663,84.2,8.853188542464293,11.95,20
